Index,Frequency (microHz),Amplitude (dB),Distance from central (samples)
27160,263.96155000,466.46487000,2843
27178,264.10334000,390.67143000,2861
27346,265.42678000,251.75995000,3029
27349,265.45041000,292.61863000,3032
27352,265.47404000,341.24661000,3035
27357,265.51343000,1217.68220000,3040
27360,265.53706000,683.66543000,3043
27364,265.56857000,897.33125000,3047
27367,265.59220000,494.99546000,3050
27371,265.62371000,420.29495000,3054
27373,265.63947000,362.91009000,3056
27377,265.67098000,1453.50520000,3060
27383,265.71825000,684.48489000,3066
27385,265.73400000,802.54401000,3068
27390,265.77339000,450.98215000,3073
27392,265.78914000,810.34799000,3075
27421,266.01759000,346.30178000,3104
27637,267.71915000,305.60266000,3320
27678,268.04213000,254.95487000,3361
27701,268.22331000,499.45273000,3384
27704,268.24694000,313.94937000,3387
27708,268.27845000,269.61728000,3391
27710,268.29421000,454.01143000,3393
27755,268.64870000,317.01813000,3438
28349,273.32798000,385.18123000,4032
28351,273.34373000,338.12833000,4034
28357,273.39100000,548.15163000,4040
28360,273.41463000,597.87674000,4043
28363,273.43826000,272.42144000,4046
28366,273.46189000,251.18828000,4049
28368,273.47765000,510.85664000,4051
28370,273.49340000,245.02411000,4053
28664,275.80941000,595.66751000,4347
28670,275.85668000,340.31287000,4353
28672,275.87243000,924.06224000,4355
28677,275.91182000,351.34950000,4360
28688,275.99847000,293.59995000,4371
28719,276.24268000,272.89306000,4402
29078,279.07072000,279.71451000,4761
29210,280.11056000,353.96918000,4893
29349,281.20554000,346.59918000,5032
29390,281.52852000,251.43700000,5073
29396,281.57579000,295.12189000,5079
29596,283.15130000,235.46164000,5279
29598,283.16706000,284.26087000,5281
